,ARIMA_Forecast,SARIMA_Forecast,ES_Forecast,GARCH_Variance
2018-08-03 00:00:00,13974.87628828587,13913.671762590448,13843.492930438302,6926187.470484337
2018-08-03 01:00:00,13413.018174754583,13234.121250734968,13121.678308837938,8203464.79306482
2018-08-03 02:00:00,13034.555681352733,12858.23136588709,12720.74480653328,8471378.845971178
2018-08-03 03:00:00,12779.626802579907,12618.277652377374,12439.375523492985,8527574.895549273
2018-08-03 04:00:00,12607.90903829576,12691.918962175554,12468.142820440145,8539362.242849372
2018-08-03 05:00:00,12492.241520701478,13120.553612954343,12774.407855959911,8541834.686329229
2018-08-03 06:00:00,12414.328937328422,13802.469983306386,13333.714837812977,8542353.291288042
2018-08-03 07:00:00,12361.847732802567,14423.055747129749,13695.626320882717,8542462.07076288
2018-08-03 08:00:00,12326.496872784273,15058.15332873965,14132.733314730283,8542484.887695009
2018-08-03 09:00:00,12302.684856361948,15676.221769724245,14671.018269566222,8542489.673638243
2018-08-03 10:00:00,12286.645299592928,16415.3804184658,15369.928054023145,8542490.677509075
2018-08-03 11:00:00,12275.841200654655,17033.535063073166,16000.921970541733,8542490.888075018
2018-08-03 12:00:00,12268.563658291798,17684.907816611307,16721.39583398686,8542490.932242071
2018-08-03 13:00:00,12263.661572227446,18234.880083335578,17332.410677320317,8542490.941506289
2018-08-03 14:00:00,12260.359571828938,18597.933727712792,17778.31052903069,8542490.943449493
2018-08-03 15:00:00,12258.135374520158,18806.641476345823,18098.384144233605,8542490.943857089
2018-08-03 16:00:00,12256.63717552823,18889.42474498373,18335.39271184625,8542490.943942584
2018-08-03 17:00:00,12255.628002371446,18773.576483941055,18456.19702729354,8542490.943960518
2018-08-03 18:00:00,12254.948232550574,18425.333363708938,18267.843581220834,8542490.943964278
2018-08-03 19:00:00,12254.490345808084,17974.736400452686,17924.697070909755,8542490.943965066
2018-08-03 20:00:00,12254.181917480568,17546.058044551275,17538.24371410557,8542490.943965234
2018-08-03 21:00:00,12253.97416297626,17211.613948054324,17104.453625520473,8542490.943965267
2018-08-03 22:00:00,12253.834221439736,16219.831933825037,16031.744846253381,8542490.943965275
2018-08-03 23:00:00,12253.739958098926,15053.316388618101,14792.232890800544,8542490.943965277
2018-08-04 00:00:00,12253.676463173533,14138.87508733677,13845.078425455335,8542490.943965277
2018-08-04 01:00:00,12253.633693571735,13461.661051179048,13123.26380385497,8542490.943965277
2018-08-04 02:00:00,12253.604884358612,13063.412180910776,12722.330301550312,8542490.943965277
2018-08-04 03:00:00,12253.585478735788,12822.118080422115,12440.961018510017,8542490.943965277
2018-08-04 04:00:00,12253.5724072855,12872.72398825016,12469.728315457178,8542490.943965277
2018-08-04 05:00:00,12253.563602475977,13269.264088869217,12775.993350976943,8542490.943965277
2018-08-04 06:00:00,12253.557671636703,13901.808412383312,13335.30033283001,8542490.943965277
2018-08-04 07:00:00,12253.553676677539,14511.304763901435,13697.21181589975,8542490.943965277
2018-08-04 08:00:00,12253.550985709535,15178.017700526801,14134.318809747316,8542490.943965277
2018-08-04 09:00:00,12253.549173098067,15831.685247276284,14672.603764583255,8542490.943965277
2018-08-04 10:00:00,12253.547952139537,16576.60354532545,15371.513549040177,8542490.943965277
2018-08-04 11:00:00,12253.547129713024,17192.80352993077,16002.507465558765,8542490.943965277
2018-08-04 12:00:00,12253.546575734037,17814.152903536844,16722.98132900389,8542490.943965277
2018-08-04 13:00:00,12253.546202578851,18340.722537894886,17333.99617233735,8542490.943965277
2018-08-04 14:00:00,12253.545951224925,18677.90520304766,17779.89602404772,8542490.943965277
2018-08-04 15:00:00,12253.545781915218,18865.882602913596,18099.969639250638,8542490.943965277
2018-08-04 16:00:00,12253.545667869745,18958.567288315517,18336.97820686328,8542490.943965277
2018-08-04 17:00:00,12253.545591049755,18890.29388160216,18457.782522310572,8542490.943965277
2018-08-04 18:00:00,12253.545539304512,18565.88323960336,18269.429076237866,8542490.943965277
2018-08-04 19:00:00,12253.545504449388,18113.89326667105,17926.282565926787,8542490.943965277
2018-08-04 20:00:00,12253.545480971296,17670.61071923661,17539.829209122603,8542490.943965277
2018-08-04 21:00:00,12253.545465156667,17328.091758002607,17106.039120537505,8542490.943965277
2018-08-04 22:00:00,12253.545454504077,16347.563840943945,16033.330341270414,8542490.943965277
2018-08-04 23:00:00,12253.54544732859,15178.182243860054,14793.818385817576,8542490.943965277
2018-08-05 00:00:00,12253.545442495248,14258.983979181696,13846.663920472367,8542490.943965277
2018-08-05 01:00:00,12253.545439239553,13582.351457692272,13124.849298872003,8542490.943965277
2018-08-05 02:00:00,12253.545437046547,13178.537761587462,12723.915796567344,8542490.943965277
2018-08-05 03:00:00,12253.545435569358,12936.91005827992,12442.54651352705,8542490.943965277
2018-08-05 04:00:00,12253.545434574336,12981.782790082048,12471.31381047421,8542490.943965277
2018-08-05 05:00:00,12253.545433904099,13370.33502465339,12777.578845993976,8542490.943965277
2018-08-05 06:00:00,12253.545433452633,13990.59136486549,13336.885827847042,8542490.943965277
2018-08-05 07:00:00,12253.54543314853,14597.327723189068,13698.797310916781,8542490.943965277
2018-08-05 08:00:00,12253.545432943689,15271.909261164248,14135.904304764348,8542490.943965277
2018-08-05 09:00:00,12253.54543280571,15934.436906797664,14674.189259600287,8542490.943965277
2018-08-05 10:00:00,12253.545432712768,16680.788697663625,15373.099044057211,8542490.943965277
2018-08-05 11:00:00,12253.545432650164,17296.502195866153,16004.092960575797,8542490.943965277
2018-08-05 12:00:00,12253.545432607994,17910.37918753105,16724.566824020923,8542490.943965277
2018-08-05 13:00:00,12253.545432579589,18431.12424757851,17335.58166735438,8542490.943965277
2018-08-05 14:00:00,12253.545432560455,18761.868002841926,17781.481519064753,8542490.943965277
2018-08-05 15:00:00,12253.545432547568,18944.685920860335,18101.55513426767,8542490.943965277
2018-08-05 16:00:00,12253.545432538886,19039.834924669656,18338.563701880317,8542490.943965277
2018-08-05 17:00:00,12253.545432533037,18983.402206218147,18459.368017327604,8542490.943965277
2018-08-05 18:00:00,12253.5454325291,18664.92312090504,18271.0145712549,8542490.943965277
2018-08-05 19:00:00,12253.545432526445,18212.586448155096,17927.86806094382,8542490.943965277
2018-08-05 20:00:00,12253.545432524657,17765.669130174396,17541.414704139635,8542490.943965277
2018-08-05 21:00:00,12253.545432523453,17421.140452726733,17107.624615554538,8542490.943965277
2018-08-05 22:00:00,12253.545432522642,16443.413516525387,16034.915836287448,8542490.943965277
2018-08-05 23:00:00,12253.545432522096,15273.318600876557,14795.403880834609,8542490.943965277
2018-08-06 00:00:00,12253.545432521729,14352.936397299147,13848.2494154894,8542490.943965277
2018-08-06 01:00:00,12253.545432521481,13676.448606340256,13126.434793889037,8542490.943965277
2018-08-06 02:00:00,12253.545432521314,13271.249906142613,12725.501291584376,8542490.943965277
2018-08-06 03:00:00,12253.545432521201,13029.539173952748,12444.132008544082,8542490.943965277
2018-08-06 04:00:00,12253.545432521125,13072.985001752117,12472.899305491244,8542490.943965277
2018-08-06 05:00:00,12253.545432521074,13459.549172816343,12779.164341011008,8542490.943965277
2018-08-06 06:00:00,12253.54543252104,14076.747212972732,13338.471322864074,8542490.943965277
2018-08-06 07:00:00,12253.545432521016,14682.796649192564,13700.382805933816,8542490.943965277
2018-08-06 08:00:00,12253.545432521,15359.336567428776,14137.48979978138,8542490.943965277
2018-08-06 09:00:00,12253.545432520988,16024.0693626172,14675.77475461732,8542490.943965277
2018-08-06 10:00:00,12253.545432520981,16770.777928964842,15374.684539074244,8542490.943965277
2018-08-06 11:00:00,12253.545432520976,17386.37034778793,16005.67845559283,8542490.943965277
2018-08-06 12:00:00,12253.545432520972,17998.38757243123,16726.152319037956,8542490.943965277
2018-08-06 13:00:00,12253.54543252097,18517.6829807742,17337.167162371414,8542490.943965277
2018-08-06 14:00:00,12253.545432520968,18846.824185156045,17783.067014081786,8542490.943965277
2018-08-06 15:00:00,12253.545432520967,19028.357983296202,18103.140629284702,8542490.943965277
2018-08-06 16:00:00,12253.545432520967,19124.120320061586,18340.14919689735,8542490.943965277
2018-08-06 17:00:00,12253.545432520967,19070.634576445646,18460.953512344637,8542490.943965277
2018-08-06 18:00:00,12253.545432520967,18753.631769191885,18272.60006627193,8542490.943965277
2018-08-06 19:00:00,12253.545432520967,18301.2088079074,17929.453555960852,8542490.943965277
2018-08-06 20:00:00,12253.545432520967,17853.38684848221,17543.000199156668,8542490.943965277
2018-08-06 21:00:00,12253.545432520967,17508.35798194272,17109.21011057157,8542490.943965277
2018-08-06 22:00:00,12253.545432520967,16531.328169077355,16036.50133130448,8542490.943965277
2018-08-06 23:00:00,12253.545432520967,15361.05571882799,14796.989375851641,8542490.943965277
2018-08-07 00:00:00,12253.545432520967,14440.378850103994,13849.834910506432,8542490.943965277
2018-08-07 01:00:00,12253.545432520967,13763.92708046599,13128.02028890607,8542490.943965277
2018-08-07 02:00:00,12253.545432520967,13358.38367292377,12727.086786601409,8542490.943965277
2018-08-07 03:00:00,12253.545432520967,13116.652276054505,12445.717503561114,8542490.943965277
2018-08-07 04:00:00,12253.545432520967,13159.742968232033,12474.484800508277,8542490.943965277
2018-08-07 05:00:00,12253.545432520967,13545.812339247697,12780.74983602804,8542490.943965277
2018-08-07 06:00:00,12253.545432520967,14162.249213067766,13340.056817881106,8542490.943965277
2018-08-07 07:00:00,12253.545432520967,14768.12768438176,13701.968300950848,8542490.943965277
2018-08-07 08:00:00,12253.545432520967,15445.155014938953,14139.075294798413,8542490.943965277
2018-08-07 09:00:00,12253.545432520967,16110.43663973116,14677.360249634352,8542490.943965277
2018-08-07 10:00:00,12253.545432520967,16857.234002299363,15376.270034091276,8542490.943965277
2018-08-07 11:00:00,12253.545432520967,17472.796286228568,16007.263950609862,8542490.943965277
2018-08-07 12:00:00,12253.545432520967,18084.350641949764,16727.737814054988,8542490.943965277
2018-08-07 13:00:00,12253.545432520967,18603.28525309927,17338.752657388446,8542490.943965277
2018-08-07 14:00:00,12253.545432520967,18932.027605909632,17784.652509098818,8542490.943965277
2018-08-07 15:00:00,12253.545432520967,19113.241805316728,18104.726124301735,8542490.943965277
2018-08-07 16:00:00,12253.545432520967,19209.156791720998,18341.734691914382,8542490.943965277
2018-08-07 17:00:00,12253.545432520967,19156.404507215662,18462.53900736167,8542490.943965277
2018-08-07 18:00:00,12253.545432520967,18839.76912406724,18274.185561288963,8542490.943965277
2018-08-07 19:00:00,12253.545432520967,18387.324686823395,17931.039050977884,8542490.943965277
2018-08-07 20:00:00,12253.545432520967,17939.277575319782,17544.5856941737,8542490.943965277
